feature,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
down,0.817635380796775,0.4194131180128008,0.3982222627839742
shotgun,0.817635380796775,0.5725524565228708,0.2450829242739042
yardline_100,0.817635380796775,0.6301624312562446,0.1874729495405304
ydstogo,0.817635380796775,0.8095400579372656,0.008095322859509424
half_seconds_remaining,0.817635380796775,0.8148732254593933,0.0027621553373816665
score_differential,0.817635380796775,0.8149609695967179,0.0026744112000570697
short_yardage,0.817635380796775,0.8151953938765446,0.002439986920230397
red_zone,0.817635380796775,0.8161427580027409,0.0014926227940340597
long_yardage,0.817635380796775,0.8162243340774868,0.001411046719288156
is_losing,0.817635380796775,0.8164607627723427,0.0011746180244323057
quarter_seconds_remaining,0.817635380796775,0.8167404703935139,0.0008949104032610622
medium_yardage,0.817635380796775,0.8170826687538016,0.0005527120429733579
no_huddle,0.817635380796775,0.8171516782538484,0.00048370254292662285
clock_pressure,0.817635380796775,0.8171616709783615,0.000473709818413548
posteam_type,0.817635380796775,0.8172324522563423,0.0004029285404326677
quarter,0.817635380796775,0.8175858985970534,4.94821997215622e-05
season,0.817635380796775,0.817635380796775,0.0
late_game,0.817635380796775,0.8177172872441836,-8.190644740857511e-05
goal_to_go,0.817635380796775,0.8177738302659787,-0.00013844946920371637
quarter_half,0.817635380796775,0.8178836102607894,-0.0002482294640143712
defteam,0.817635380796775,0.8178918923624872,-0.0002565115657121586
posteam_timeouts_remaining,0.817635380796775,0.8180809654492296,-0.0004455846524545892
game_seconds_remaining,0.817635380796775,0.818141271475558,-0.0005058906787830386
defteam_timeouts_remaining,0.817635380796775,0.8183887182458063,-0.0007533374490312772
