metric,delta_without_buckets
accuracy,-0.0002618623651408081
macro_f1,0.0001734083532194397
weighted_f1,-0.0006457321615911393
f1_pass,0.0019296522372236335
f1_run,-0.004495355765917863
f1_punt,0.0006331704077772171
f1_field_goal,0.0026261665337952156
