experiment,accuracy,macro_f1,weighted_f1,fit_seconds,f1_field_goal,recall_field_goal,f1_pass,recall_pass,f1_punt,recall_punt,f1_run,recall_run
Staged RF current features,0.7281344925107364,0.8232362654458542,0.7276676902896216,30.931010248837993,0.928898128898129,0.9579759862778731,0.7435326279552473,0.7381514801226315,0.9627087622969572,0.9929211892402077,0.657805542633083,0.6596028255364521
Staged RF no buckets,0.7266680632659475,0.8213716872383361,0.7259779808596168,31.563117418205366,0.9265255292652553,0.9571183533447685,0.7436104249634521,0.741368045433985,0.9616087751371115,0.9929211892402077,0.6537420195875255,0.6516726642676263
RF without yardage buckets,0.7264062009008065,0.8178221068345698,0.7249460716344359,19.150718793505803,0.9180327868852459,0.9605488850771869,0.7467770490985712,0.7525757651907323,0.9584562996594779,0.996224634261444,0.6480222916949844,0.6354125016660003
RF current feature set,0.7266680632659475,0.8176487541559854,0.7255919292048407,18.88341166358441,0.9154066203514507,0.9605488850771869,0.7448476927716899,0.7447353872443082,0.9578231292517007,0.9966965549787635,0.6525175742491003,0.6464081034252965
Staged RF rolling tendencies no buckets,0.7197025243531999,0.810083978231936,0.7190094813566286,37.583371544256806,0.9005278116118555,0.951114922813036,0.7360154033238752,0.730059808011258,0.9547212741751991,0.9900896649362907,0.6490714238168143,0.649806743969079
Simple logistic baseline,0.7171886456478475,0.7980363373091697,0.7168969209994699,4.8172002921346575,0.8445769660827432,0.9716981132075472,0.7333813171559302,0.7169422526008946,0.9639556377079482,0.9844266163284568,0.6502314282900568,0.6600026656004265
RF rolling tendencies no buckets,0.7143343458678119,0.786069569919906,0.71292898385066,23.042356084333733,0.8431299138899289,0.9656946826758147,0.7310594473335372,0.720661406242147,0.920648838228847,0.9910335063709297,0.6494400802273107,0.6473410635745702
RF broad tendency features,0.7163506860793967,0.784654628330801,0.715440914603332,19.78687974717468,0.8329621380846325,0.9622641509433962,0.7291084187635912,0.7077448861637433,0.9167940598383927,0.9905615856536102,0.6597538966365873,0.6699320271891244
Dummy most-frequent baseline,0.5210275479208129,0.17127485581475424,0.3569556725826087,0.10143404197879136,0.0,0.0,0.685099423259017,1.0,0.0,0.0,0.0,0.0
